Id,Sales_Price__c,Sales_Transport__c,Sales_Tonnage_charge_thereafter__c
8024H00000SjVn9QAF,28.880599999999998,,28.880599999999998
8024H00000SjVnAQAV,22.6968,,22.6968
8024H00000SjVnBQAV,23.7258,,23.7258
8024H00000SjVnCQAV,12.3774,,12.3774
8024H00000SjVnDQAV,27.8516,,27.8516
8024H00000SjVnEQAV,283.6512,,283.6512
8024H00000USGHFQA5,480.07995,,
8024H00000UVCF5QAP,0.0,134.0934,
8028e000000wu6SAAQ,406.455,,
8028e000000pUFbAAM,329.28,,
8028e000000mYcQAAU,340.06,,
8028e000000macvAAA,13.994399999999999,,180.9276
8028e000000macwAAA,18.9924,,219.912
8028e000000mcaqAAA,174.93,,
8028e000000mcarAAA,39.616499999999995,,
8028e000000mcasAAA,73.5,,
8028e000000mcatAAA,236.67,,
8028e000000mcauAAA,0.0,171.5,
8028e000000mcavAAA,164.64,,144.06
8028e000000mcawAAA,26.46,,
8028e000000mcaxAAA,252.105,,
8028e000000mcayAAA,61.74,,
8028e000000mcazAAA,77.175,,
8028e000000mcb5AAA,246.00155999999998,,
8028e000000mcb6AAA,0.0,187.17510000000001,
8028e000000mcb7AAA,179.688096,,157.227084
8028e000000mcb8AAA,264.24719999999996,,
8028e000000mcb9AAA,66.06179999999999,,
8028e000000mcbAAAQ,77.07209999999999,,
8028e000000mcbBAAQ,82.57725,,
8028e000000mcbCAAQ,187.17510000000001,,
8028e000000mcbDAAQ,42.389655,,
8028e000000mcbEAAQ,30.325512,,
8028e000000mfmcAAA,338.01620999999994,,
8028e000000mfmdAAA,774.9154,,
8028e000000mfmeAAA,451.4223,,
8028e000000mfmfAAA,561.0010000000001,,191.8938
8028e000000mfmgAAA,0.0,181.82724000000002,
8028e000000mfmhAAA,161.4844,,
8028e000000mfmiAAA,125.51742,,
8028e000000npYSAAY,0.0,458.9928,
8028e000000oGZ0AAM,338.01620999999994,,
8028e000000oGZ1AAM,813.66117,,
8028e000000oGZ2AAM,451.4223,,
8028e000000oGZ3AAM,536.8832,,191.8938
8028e000000oGZ4AAM,161.4844,,
8028e000000oGZ5AAM,125.51742,,
8028e000000oGZ6AAM,54.5272,,
8028e000000oGZ7AAM,0.0,178.262,
8028e000001i2P7AAI,416.063508,,
8028e000001qUrLAAU,0.0,129.94799999999998,
8028e000001qYsSAAU,9.261,,
8028e000001qYsTAAU,0.0,,162.68
8028e000001rck3AAA,131.99776799999998,,
8028e000002inv9AAA,66.885,,
8028e000002invAAAQ,52.479,,
8028e000002yTHeAAM,772.4947999999999,,155.3398
8028e000002yTHfAAM,152.292,,
8028e000004O26BAAS,578.2,,191.1
8028e000004cKjoAAE,582.9824,,146.76479999999998
8028e000004dedjAAA,499.8,,
8028e000004fCmxAAE,0.0,128.34864,
8028e000005A3NnAAK,0.0,98.0,
8028e000005LCB7AAO,0.0,141.12,
8028e000005dUwvAAE,715.4,,
8028e000005ejzUAAQ,26.215,,
8028e000005ejzVAAQ,638.5974,,
8028e000005ejzWAAQ,47.187,,
8028e000006C8ifAAC,1383.76,,196.0
8028e000006C8igAAC,87.22,,
8028e0000070UYaAAM,31.4874,,31.4874
8028e000007Hg8EAAS,201.88,,
8028e000007Hg8FAAS,63.699999999999996,,
8028e000007Hg8GAAS,490.0,,
8028e000007RzlJAAS,188.9244,,188.9244
8028e000008BLT2AAO,23.530583999999998,,23.530583999999998
8028e000000BwiGAAS,170.93159999999997,,170.93159999999997
8028e000009AWE2AAO,39.983999999999995,,39.983999999999995
8028e000009Z4USAA0,39.2,,
8028e000009Z4UTAA0,41.16,,
8028e000009Z4UUAA0,69.58,,
8028e000009Z4UVAA0,371.42,,371.42
802Sj000000FVTJIA4,235.2,,
802Sj000000FVY9IAO,544.88,,
802Sj000000GIPGIA4,125.44,,125.44
802Sj000000HbKvIAK,313.6,,
802Sj000000NshFIAS,14.7,,14.7
802Sj000000NshGIAS,14.994,,14.994
802Sj000000NshHIAS,186.2,,186.2
802Sj000000NshIIAS,21.56,,21.56
802Sj0000011tjRIAQ,202.85999999999999,,
802Sj0000011tjSIAQ,72.52,,
802Sj000001bmGRIAY,39.2,,78.4
802Sj000001vxAwIAI,802.179,,162.533
802Sj000001vxAxIAI,151.9,,
802Sj000002GFoNIAW,84.28,,84.28
802Sj000002GFoOIAW,88.2,,
802Sj000002H4cQIAS,632.1,,
802Sj000002LK94IAG,18.62,,18.62
802Sj000002V8eTIAS,199.234,,
802Sj000002W7ExIAK,2205.0,,440.98040000000003
802Sj000002zMHAIA2,277.879,,99.617
802Sj0000031Dj3IAE,857.5,,210.7
802Sj0000031Dj4IAE,171.5,,
802Sj0000031Dj5IAE,44.1,,
802Sj000003HxegIAC,1577.8,,225.4
802Sj000003K2jwIAC,2867.48,,
802Sj000003sqCnIAI,183.505,,
802Sj000003sqCoIAI,73.402,,
802Sj000003zSDlIAM,466.62699999999995,,
802Sj0000041GRsIAM,838.88,,1048.6
802Sj000004KvZJIA0,471.87,,
802Sj000004KvZKIA0,298.851,,
802Sj000004POGAIA4,0.0,,214.963
