Id,OrderItemNumber,Sales_Price__c,Sales_Transport__c,Sales_Tonnage_charge_thereafter__c
802Sj00000A4PlGIAV,0000077636,150.0,,
802Sj00000ABO1FIAX,0000077881,575.0,,369.0
802Sj00000ABO1GIAX,0000077882,20.0,,
802Sj00000ABO1HIAX,0000077883,80.0,,
802Sj00000AR2OBIA1,0000078213,285.0,,
802Sj00000BY6KwIAL,0000079923,488.0,,
802Sj00000BkxtCIAR,0000080893,468.0,,
802Sj00000C2AsRIAV,0000081222,171.0,,
802Sj00000CJbWQIA1,0000081451,440.0,,110.0
802Sj00000CY9pxIAD,0000081627,269.0,,
802Sj00000DtDN5IAN,0000082934,507.0,,
802Sj00000E76BtIAJ,0000083056,125.0,,
802Sj00000E76BuIAJ,0000083057,40.0,,
802Sj00000E76BvIAJ,0000083058,20.0,,
802Sj00000E76BwIAJ,0000083059,26.0,,
802Sj00000F5JRIIA3,0000084082,264.0,,
802Sj00000FhmWzIAJ,0000086322,400.0,,
802Sj00000FhmX0IAJ,0000086323,120.0,,
802Sj00000FhmX1IAJ,0000086324,36.0,,
802Sj00000FhmX2IAJ,0000086325,312.0,,
802Sj00000FhmX3IAJ,0000086326,0.0,,
802Sj00000FjkSgIAJ,0000086417,85.0,0.0,85.0
802Sj00000FmJNtIAN,0000086466,0.0,,
802Sj00000FmJNuIAN,0000086467,1095.0,,
802Sj00000FmJNvIAN,0000086468,2745.0,,
8024H00000R9VerQAF,0000026654,128.0683,,128.0683
8024H00000R9VesQAF,0000026655,,,9.8012
8024H00000R9VetQAF,0000026656,,,9.8012
8024H00000R9ibfQAB,0000027195,,,
8024H00000R9ic4QAB,0000027220,,,154.4117
8024H00000R9ic5QAB,0000027221,,,118.4169
8024H00000R9ic6QAB,0000027222,,,6.9657
8024H00000R9ic7QAB,0000027223,,,11.6095
8024H00000R9ic8QAB,0000027224,,,15.729
8024H00000R9ic9QAB,0000027225,273.5455,,
8024H00000R9icAQAR,0000027226,16.3389,,177.6307
8024H00000R9icYQAR,0000027250,226.3906,,
8024H00000R9icZQAR,0000027251,292.1956,,
8024H00000R9icaQAB,0000027252,81.855,,
8024H00000R9icbQAB,0000027253,158.469675,,
8024H00000R9iccQAB,0000027254,158.469675,,
8024H00000R9icdQAB,0000027255,282.9294,,
8024H00000RxSX8QAN,0000030386,,,
8024H00000Ry4evQAB,0000030944,131.9096,,131.9096
8024H00000SjCMUQA3,0000033910,411.5541,,137.1847
8024H00000SjVn8QAF,0000034080,17.89,,17.89
8024H00000SjVn9QAF,0000034081,29.47,,29.47
8024H00000SjVnAQAV,0000034082,23.16,,23.16
8024H00000SjVnBQAV,0000034083,24.21,,24.21
8024H00000SjVnCQAV,0000034084,12.63,,12.63
8024H00000SjVnDQAV,0000034085,28.42,,28.42
8024H00000SjVnEQAV,0000034086,289.44,,289.44
8024H00000USGHFQA5,0000038493,489.8775,,
8024H00000UVCF5QAP,0000039088,,136.83,
8028e000000wu6SAAQ,0000044302,414.75,,
8028e000000pUFbAAM,0000044799,336.0,,
8028e000000mYcQAAU,0000045320,347.0,,
8028e000000macvAAA,0000046082,14.28,,184.62
8028e000000macwAAA,0000046083,19.38,,224.4
8028e000000mcaqAAA,0000046819,178.5,,
8028e000000mcarAAA,0000046820,40.425,,
8028e000000mcasAAA,0000046821,75.0,,
8028e000000mcatAAA,0000046822,241.5,,
8028e000000mcauAAA,0000046823,,175.0,
8028e000000mcavAAA,0000046824,168.0,,147.0
8028e000000mcawAAA,0000046825,27.0,,
8028e000000mcaxAAA,0000046826,257.25,,
8028e000000mcayAAA,0000046827,63.0,,
8028e000000mcazAAA,0000046828,78.75,,
8028e000000mcb5AAA,0000046830,251.022,,
8028e000000mcb6AAA,0000046831,,190.995,
8028e000000mcb7AAA,0000046832,183.3552,,160.4358
8028e000000mcb8AAA,0000046833,269.64,,
8028e000000mcb9AAA,0000046834,67.41,,
8028e000000mcbAAAQ,0000046835,78.645,,
8028e000000mcbBAAQ,0000046836,84.2625,,
8028e000000mcbCAAQ,0000046837,190.995,,
8028e000000mcbDAAQ,0000046838,43.25475,,
8028e000000mcbEAAQ,0000046839,30.9444,,
8028e000000mfmcAAA,0000046954,344.9145,,
8028e000000mfmdAAA,0000046955,790.73,,
8028e000000mfmeAAA,0000046956,460.635,,
8028e000000mfmfAAA,0000046957,572.45,,195.81
8028e000000mfmgAAA,0000046958,,185.538,
8028e000000mfmhAAA,0000046959,164.78,,
8028e000000mfmiAAA,0000046960,128.079,,
8028e000000npYSAAY,0000048257,,468.36,
8028e000000oGZ0AAM,0000048878,344.9145,,
8028e000000oGZ1AAM,0000048879,830.2665,,
8028e000000oGZ2AAM,0000048880,460.635,,
8028e000000oGZ3AAM,0000048881,547.84,,195.81
8028e000000oGZ4AAM,0000048882,164.78,,
8028e000000oGZ5AAM,0000048883,128.079,,
8028e000000oGZ6AAM,0000048884,55.64,,
8028e000000oGZ7AAM,0000048885,,181.9,
8028e000001i2P7AAI,0000049190,424.5546,,
8028e000001qUrLAAU,0000049308,,132.6,
8028e000001qYsSAAU,0000049313,9.45,,
